CLASS,SUBCLASS,ADDRESS,NAME,CURRENT_ADDRESS,NUM_READS,FROM,TO,TYPE
Calibration,Current,0x4000,CC Gain,0x4000,1,0,4,F4
Calibration,Current,0x4004,Capacity Gain,0x4000,1,4,8,F4
Calibration,Voltage,0x4008,Cell1 Offset,0x4008,1,0,1,I1
Calibration,Voltage,0x4009,Cell2 Offset,0x4008,1,1,2,I1
Calibration,Voltage,0x400a,Cell3 Offset,0x4008,1,2,3,I1
Calibration,Voltage,0x400b,Cell4 Offset,0x4008,1,3,4,I1
Calibration,Voltage,0x400c,Cell5 Offset,0x4008,1,4,5,I1
Calibration,Voltage,0x400d,Cell6 Offset,0x4008,1,5,6,I1
Calibration,Voltage,0x400e,Cell7 Offset,0x4008,1,6,7,I1
Calibration,Voltage,0x400f,Cell8 Offset,0x4008,1,7,8,I1
Calibration,Voltage,0x4010,Cell9 Offset,0x4008,1,8,9,I1
Calibration,Voltage,0x4011,Cell10 Offset,0x4008,1,9,10,I1
Calibration,Voltage,0x4012,Cell11 Offset,0x4008,1,10,11,I1
Calibration,Voltage,0x4013,Cell12 Offset,0x4008,1,11,12,I1
Calibration,Voltage,0x4014,Cell13 Offset,0x4008,1,12,13,I1
Calibration,Voltage,0x4015,Cell14 Offset,0x4008,1,13,14,I1
Calibration,Voltage,0x4016,Cell15 Offset,0x4008,1,14,15,I1
Calibration,Current Offset,0x4018,CC Offset,0x4018,1,0,2,I2
Calibration,Current Offset,0x401a,Coulomb Counter Offset Samples,0x4018,1,2,4,U2
Calibration,Temperature,0x401e,T1 Temp Offset,0x401e,1,0,1,I1
Calibration,Temperature,0x401f,T2 Temp Offset,0x401e,1,1,2,I1
Calibration,Temperature,0x4020,T3 Temp Offset,0x401e,1,2,3,I1
Calibration,Temperature,0x4021,Gauge Internal Temp Offset,0x401e,1,3,4,I1
Calibration,Ext Cell Voltage,0x4022,Ext Cell Divider Gain,0x4022,1,0,2,I2
Calibration,VAux Voltage,0x4024,VAux Gain,0x4024,1,0,4,I4
Calibration,Cell Temperature Model,0x454f,Coeff a1,0x454f,1,0,2,I2
Calibration,Cell Temperature Model,0x4551,Coeff a2,0x454f,1,2,4,I2
Calibration,Cell Temperature Model,0x4553,Coeff a3,0x454f,1,4,6,I2
Calibration,Cell Temperature Model,0x4555,Coeff a4,0x454f,1,6,8,I2
Calibration,Cell Temperature Model,0x4557,Coeff a5,0x454f,1,8,10,I2
Calibration,Cell Temperature Model,0x4559,Coeff b1,0x454f,1,10,12,I2
Calibration,Cell Temperature Model,0x455b,Coeff b2,0x454f,1,12,14,I2
Calibration,Cell Temperature Model,0x455d,Coeff b3,0x454f,1,14,16,I2
Calibration,Cell Temperature Model,0x455f,Coeff b4,0x454f,1,16,18,I2
Calibration,Cell Temperature Model,0x4561,Rc0,0x454f,1,18,20,I2
Calibration,Cell Temperature Model,0x4563,Adc0,0x454f,1,20,22,I2
Calibration,Fet Temperature Model,0x4569,Coeff a1,0x4569,1,0,2,I2
Calibration,Fet Temperature Model,0x456b,Coeff a2,0x4569,1,2,4,I2
Calibration,Fet Temperature Model,0x456d,Coeff a3,0x4569,1,4,6,I2
Calibration,Fet Temperature Model,0x456f,Coeff a4,0x4569,1,6,8,I2
