CLASS,SUBCLASS,ADDRESS,NAME,CURRENT_ADDRESS,NUM_READS,FROM,TO,TYPE,OFFSET
Calibration,Current,0x4000,CC Gain,0x4000,1,0,4,F4,0
Calibration,Current,0x4000,Capacity Gain,0x4000,1,4,8,F4,0
Calibration,Voltage,0x4000,Cell1 Offset,0x4008,1,0,1,I1,0
Calibration,Voltage,0x4000,Cell2 Offset,0x4008,1,1,2,I1,0
Calibration,Voltage,0x4000,Cell3 Offset,0x4008,1,2,3,I1,0
Calibration,Voltage,0x4000,Cell4 Offset,0x4008,1,3,4,I1,0
Calibration,Voltage,0x4000,Cell5 Offset,0x4008,1,4,5,I1,0
Calibration,Voltage,0x4000,Cell6 Offset,0x4008,1,5,6,I1,0
Calibration,Voltage,0x4000,Cell7 Offset,0x4008,1,6,7,I1,0
Calibration,Voltage,0x4000,Cell8 Offset,0x4008,1,7,8,I1,0
Calibration,Voltage,0x4000,Cell9 Offset,0x4008,1,8,9,I1,0
Calibration,Voltage,0x4000,Cell10 Offset,0x4008,1,9,10,I1,0
Calibration,Voltage,0x4000,Cell11 Offset,0x4008,1,10,11,I1,0
Calibration,Voltage,0x4000,Cell12 Offset,0x4008,1,11,12,I1,0
Calibration,Voltage,0x4000,Cell13 Offset,0x4008,1,12,13,I1,0
Calibration,Voltage,0x4000,Cell14 Offset,0x4008,1,13,14,I1,0
Calibration,Voltage,0x4000,Cell15 Offset,0x4008,1,14,15,I1,0
Calibration,Current Offset,0x4000,CC Offset,0x4018,1,0,2,I2,0
Calibration,Current Offset,0x4000,Coulomb Counter Offset Samples,0x4018,1,2,4,U2,0
Calibration,Temperature,0x4000,T1 Temp Offset,0x401e,1,0,1,I1,0
Calibration,Temperature,0x4000,T2 Temp Offset,0x401e,1,1,2,I1,0
Calibration,Temperature,0x4020,T3 Temp Offset,0x401e,1,2,3,I1,0
Calibration,Temperature,0x4020,Gauge Internal Temp Offset,0x401e,1,3,4,I1,0
Calibration,Ext Cell Voltage,0x4020,Ext Cell Divider Gain,0x4022,1,0,2,I2,0
Calibration,VAux Voltage,0x4020,VAux Gain,0x4024,1,0,4,I4,0
Calibration,Cell Temperature Model,0x4540,Coeff a1,0x454f,1,0,2,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a2,0x454f,1,2,4,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a3,0x454f,1,4,6,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a4,0x454f,1,6,8,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a5,0x454f,1,8,10,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b1,0x454f,1,10,12,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b2,0x454f,1,12,14,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b3,0x454f,1,14,16,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b4,0x454f,1,16,18,I2,0
Calibration,Cell Temperature Model,0x4560,Rc0,0x454f,1,18,20,I2,0
Calibration,Cell Temperature Model,0x4560,Adc0,0x454f,1,20,22,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a1,0x4569,1,0,2,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a2,0x4569,1,2,4,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a3,0x4569,1,4,6,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a4,0x4569,1,6,8,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a5,0x4569,1,8,10,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b1,0x4569,1,10,12,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b2,0x4569,1,12,14,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b3,0x4569,1,14,16,I2,0
