CLASS,SUBCLASS,ADDRESS,NAME,CURRENT_ADDRESS,NUM_READS,FROM,TO,TYPE
Calibration,Current,16384,CC Gain,0x4000,1,0,4,F4
Calibration,Current,16384,Capacity Gain,0x4000,1,4,8,F4
Calibration,Voltage,16384,Cell1 Offset,0x4008,1,0,1,I1
Calibration,Voltage,16384,Cell2 Offset,0x4008,1,1,2,I1
Calibration,Voltage,16384,Cell3 Offset,0x4008,1,2,3,I1
Calibration,Voltage,16384,Cell4 Offset,0x4008,1,3,4,I1
Calibration,Voltage,16384,Cell5 Offset,0x4008,1,4,5,I1
Calibration,Voltage,16384,Cell6 Offset,0x4008,1,5,6,I1
Calibration,Voltage,16384,Cell7 Offset,0x4008,1,6,7,I1
Calibration,Voltage,16384,Cell8 Offset,0x4008,1,7,8,I1
Calibration,Voltage,16384,Cell9 Offset,0x4008,1,8,9,I1
Calibration,Voltage,16384,Cell10 Offset,0x4008,1,9,10,I1
Calibration,Voltage,16384,Cell11 Offset,0x4008,1,10,11,I1
Calibration,Voltage,16384,Cell12 Offset,0x4008,1,11,12,I1
Calibration,Voltage,16384,Cell13 Offset,0x4008,1,12,13,I1
Calibration,Voltage,16384,Cell14 Offset,0x4008,1,13,14,I1
Calibration,Voltage,16384,Cell15 Offset,0x4008,1,14,15,I1
Calibration,Current Offset,16384,CC Offset,0x4018,1,0,2,I2
Calibration,Current Offset,16384,Coulomb Counter Offset Samples,0x4018,1,2,4,U2
Calibration,Temperature,16384,T1 Temp Offset,0x401e,1,0,1,I1
Calibration,Temperature,16384,T2 Temp Offset,0x401e,1,1,2,I1
Calibration,Temperature,16416,T3 Temp Offset,0x401e,1,2,3,I1
Calibration,Temperature,16416,Gauge Internal Temp Offset,0x401e,1,3,4,I1
Calibration,Ext Cell Voltage,16416,Ext Cell Divider Gain,0x4022,1,0,2,I2
Calibration,VAux Voltage,16416,VAux Gain,0x4024,1,0,4,I4
Calibration,Cell Temperature Model,17728,Coeff a1,0x454f,1,0,2,I2
Calibration,Cell Temperature Model,17728,Coeff a2,0x454f,1,2,4,I2
Calibration,Cell Temperature Model,17728,Coeff a3,0x454f,1,4,6,I2
Calibration,Cell Temperature Model,17728,Coeff a4,0x454f,1,6,8,I2
Calibration,Cell Temperature Model,17728,Coeff a5,0x454f,1,8,10,I2
Calibration,Cell Temperature Model,17728,Coeff b1,0x454f,1,10,12,I2
Calibration,Cell Temperature Model,17728,Coeff b2,0x454f,1,12,14,I2
Calibration,Cell Temperature Model,17728,Coeff b3,0x454f,1,14,16,I2
Calibration,Cell Temperature Model,17728,Coeff b4,0x454f,1,16,18,I2
Calibration,Cell Temperature Model,17760,Rc0,0x454f,1,18,20,I2
